name,nlmImageFileName,full_path,exists
Loperamide Hydrochloride 2 MG Oral Capsule,00093-0311-01_NLMIMAGE10_6315B1FD.jpg,600\00093-0311-01_NLMIMAGE10_6315B1FD.jpg,True
Minocycline 50 MG Oral Capsule,00093-3165-01_NLMIMAGE10_19270CA8.jpg,600\00093-3165-01_NLMIMAGE10_19270CA8.jpg,True
Nortriptyline 10 MG Oral Capsule,00093-0810-01_NLMIMAGE10_34271A58.jpg,600\00093-0810-01_NLMIMAGE10_34271A58.jpg,True
Nortriptyline 25 MG Oral Capsule,00093-0811-01_NLMIMAGE10_15270A98.jpg,600\00093-0811-01_NLMIMAGE10_15270A98.jpg,True
Nortriptyline 50 MG Oral Capsule,00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg,600\00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg,True
Nortriptyline 75 MG Oral Capsule,00093-0813-01_NLMIMAGE10_D626EB47.jpg,600\00093-0813-01_NLMIMAGE10_D626EB47.jpg,True
Hydroxyzine Pamoate 50 MG Oral Capsule,00185-0615-01_NLMIMAGE10_4F34A795.jpg,600\00185-0615-01_NLMIMAGE10_4F34A795.jpg,True
Hydroxyzine Pamoate 25 MG Oral Capsule,00185-0613-01_NLMIMAGE10_F634FB07.jpg,600\00185-0613-01_NLMIMAGE10_F634FB07.jpg,True
Hydrochlorothiazide 12.5 MG Oral Capsule,00603-3855-21_NLMIMAGE10_8B34C5C6.jpg,600\00603-3855-21_NLMIMAGE10_8B34C5C6.jpg,True
doxycycline hyclate 50 MG Oral Capsule,53489-0118-02_NLMIMAGE10_FA34FD77.jpg,600\53489-0118-02_NLMIMAGE10_FA34FD77.jpg,True
doxycycline hyclate 100 MG Oral Capsule,53489-0119-02_NLMIMAGE10_333499B4.jpg,600\53489-0119-02_NLMIMAGE10_333499B4.jpg,True
doxycycline hyclate 100 MG Oral Capsule,00591-5440-50_NLMIMAGE10_B834DC76.jpg,600\00591-5440-50_NLMIMAGE10_B834DC76.jpg,True
Fluoxetine 10 MG Oral Capsule,00781-2823-13_NLMIMAGE10_ED34F687.jpg,600\00781-2823-13_NLMIMAGE10_ED34F687.jpg,True
Fluoxetine 20 MG Oral Capsule,00781-2822-13_NLMIMAGE10_F134F8F7.jpg,600\00781-2822-13_NLMIMAGE10_F134F8F7.jpg,True
Fluoxetine 40 MG Oral Capsule,00781-2824-10_NLMIMAGE10_7D34BED5.jpg,600\00781-2824-10_NLMIMAGE10_7D34BED5.jpg,True
Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Capsule,00781-2074-01_NLMIMAGE10_9D34CEF6.jpg,600\00781-2074-01_NLMIMAGE10_9D34CEF6.jpg,True
Cephalexin 500 MG Oral Capsule,00093-3147-01_NLMIMAGE10_C51962CB.jpg,600\00093-3147-01_NLMIMAGE10_C51962CB.jpg,True
,00093-4356-01_NLMIMAGE10_0E210728.jpg,600\00093-4356-01_NLMIMAGE10_0E210728.jpg,True
Fluoxetine 40 MG Oral Capsule,00378-4350-93_NLMIMAGE10_00268034.jpg,600\00378-4350-93_NLMIMAGE10_00268034.jpg,True
Indomethacin 25 MG Oral Capsule,00378-0143-01_NLMIMAGE10_8221411A.jpg,600\00378-0143-01_NLMIMAGE10_8221411A.jpg,True
24 HR Propranolol Hydrochloride 80 MG Extended Release Oral Capsule,00228-2779-11_NLMIMAGE10_3F211FE8.jpg,600\00228-2779-11_NLMIMAGE10_3F211FE8.jpg,True
24 HR Propranolol Hydrochloride 120 MG Extended Release Oral Capsule,00228-2780-11_NLMIMAGE10_0B2685A4.jpg,600\00228-2780-11_NLMIMAGE10_0B2685A4.jpg,True
Amoxicillin 500 MG Oral Capsule,00093-3109-05_NLMIMAGE10_0F2687E4.jpg,600\00093-3109-05_NLMIMAGE10_0F2687E4.jpg,True
Cephalexin 250 MG Oral Capsule,00093-3145-01_NLMIMAGE10_CB1965CB.jpg,600\00093-3145-01_NLMIMAGE10_CB1965CB.jpg,True
Doxepin Hydrochloride 10 MG Oral Capsule,00378-1049-01_NLMIMAGE10_4134A0A5.jpg,600\00378-1049-01_NLMIMAGE10_4134A0A5.jpg,True
24 HR Diltiazem Hydrochloride 300 MG Extended Release Oral Capsule,00228-2579-03_NLMIMAGE10_DF34EFF7.jpg,600\00228-2579-03_NLMIMAGE10_DF34EFF7.jpg,True
Dicyclomine Hydrochloride 10 MG Oral Capsule,00378-1610-01_NLMIMAGE10_2F3497A4.jpg,600\00378-1610-01_NLMIMAGE10_2F3497A4.jpg,True
24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule,00228-2588-03_NLMIMAGE10_04350258.jpg,600\00228-2588-03_NLMIMAGE10_04350258.jpg,True
Clindamycin 300 MG Oral Capsule,63304-0693-01_NLMIMAGE10_F7267BB3.jpg,600\63304-0693-01_NLMIMAGE10_F7267BB3.jpg,True
Clindamycin 300 MG Oral Capsule,59762-5010-01_NLMIMAGE10_5834AC15.jpg,600\59762-5010-01_NLMIMAGE10_5834AC15.jpg,True
Clindamycin 300 MG Oral Capsule,00093-5256-68_NLMIMAGE10_8727C3AE.jpg,600\00093-5256-68_NLMIMAGE10_8727C3AE.jpg,True
Dicyclomine Hydrochloride 10 MG Oral Capsule,00143-3126-01_NLMIMAGE10_AF34D7F6.jpg,600\00143-3126-01_NLMIMAGE10_AF34D7F6.jpg,True
Doxycycline Monohydrate 50 MG Oral Capsule,49884-0726-01_NLMIMAGE10_38349C24.jpg,600\49884-0726-01_NLMIMAGE10_38349C24.jpg,True
Etodolac 200 MG Oral Capsule,51672-4016-01_NLMIMAGE10_09268484.jpg,600\51672-4016-01_NLMIMAGE10_09268484.jpg,True
Omeprazole 10 MG Delayed Release Oral Capsule,60505-0145-00_NLMIMAGE10_4534A2B5.jpg,600\60505-0145-00_NLMIMAGE10_4534A2B5.jpg,True
Omeprazole 40 MG Delayed Release Oral Capsule,62037-0640-30_NLMIMAGE10_19268CC4.jpg,600\62037-0640-30_NLMIMAGE10_19268CC4.jpg,True
Piroxicam 10 MG Oral Capsule,00093-0756-01_NLMIMAGE10_19268C94.jpg,600\00093-0756-01_NLMIMAGE10_19268C94.jpg,True
Minocycline 75 MG Oral Capsule,63304-0695-01_NLMIMAGE10_0A350528.jpg,600\63304-0695-01_NLMIMAGE10_0A350528.jpg,True
Minocycline 100 MG Oral Capsule,00093-3167-53_NLMIMAGE10_10270828.jpg,600\00093-3167-53_NLMIMAGE10_10270828.jpg,True
Nortriptyline 75 MG Oral Capsule,00591-5789-01_NLMIMAGE10_5434AA05.jpg,600\00591-5789-01_NLMIMAGE10_5434AA05.jpg,True
Nortriptyline 10 MG Oral Capsule,00591-5786-01_NLMIMAGE10_213490B4.jpg,600\00591-5786-01_NLMIMAGE10_213490B4.jpg,True
gabapentin 100 MG Oral Capsule,53746-0101-01_NLMIMAGE10_A634D376.jpg,600\53746-0101-01_NLMIMAGE10_A634D376.jpg,True
gabapentin 300 MG Oral Capsule,00228-2666-11_NLMIMAGE10_DB34ED87.jpg,600\00228-2666-11_NLMIMAGE10_DB34ED87.jpg,True
gabapentin 400 MG Oral Capsule,00228-2667-11_NLMIMAGE10_2A349534.jpg,600\00228-2667-11_NLMIMAGE10_2A349534.jpg,True
Hydrochlorothiazide 12.5 MG Oral Capsule,65862-0113-01_NLMIMAGE10_5D34AE85.jpg,600\65862-0113-01_NLMIMAGE10_5D34AE85.jpg,True
Indomethacin 50 MG Oral Capsule,00093-4030-01_NLMIMAGE10_20271038.jpg,600\00093-4030-01_NLMIMAGE10_20271038.jpg,True
Phenytoin sodium 100 MG Extended Release Oral Capsule,51672-4111-01_NLMIMAGE10_3C349E34.jpg,600\51672-4111-01_NLMIMAGE10_3C349E34.jpg,True
24 HR Propranolol Hydrochloride 60 MG Extended Release Oral Capsule,00228-2778-11_NLMIMAGE10_6134B095.jpg,600\00228-2778-11_NLMIMAGE10_6134B095.jpg,True
Ramipril 1.25 MG Oral Capsule,16252-0570-30_NLMIMAGE10_4B34A585.jpg,600\16252-0570-30_NLMIMAGE10_4B34A585.jpg,True
Ramipril 10 MG Oral Capsule,00054-0109-25_NLMIMAGE10_00268004.jpg,600\00054-0109-25_NLMIMAGE10_00268004.jpg,True
Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Capsule,00378-2537-01_NLMIMAGE10_04268244.jpg,600\00378-2537-01_NLMIMAGE10_04268244.jpg,True
Acyclovir 200 MG Oral Capsule,00093-8940-01_NLMIMAGE10_FB267DF3.jpg,600\00093-8940-01_NLMIMAGE10_FB267DF3.jpg,True
Clindamycin 150 MG Oral Capsule,59762-3328-01_NLMIMAGE10_6F34B785.jpg,600\59762-3328-01_NLMIMAGE10_6F34B785.jpg,True
Clindamycin 150 MG Oral Capsule,00093-3171-01_NLMIMAGE10_E626F327.jpg,600\00093-3171-01_NLMIMAGE10_E626F327.jpg,True
Clindamycin 150 MG Oral Capsule,00591-5708-01_NLMIMAGE10_A234D106.jpg,600\00591-5708-01_NLMIMAGE10_A234D106.jpg,True
gabapentin 100 MG Oral Capsule,59762-5026-01_NLMIMAGE10_26349324.jpg,600\59762-5026-01_NLMIMAGE10_26349324.jpg,True
Terazosin 2 MG Oral Capsule,00378-2264-01_NLMIMAGE10_BD34DEE6.jpg,600\00378-2264-01_NLMIMAGE10_BD34DEE6.jpg,True
Cephalexin 500 MG Oral Capsule,68180-0122-01_NLMIMAGE10_D634EB77.jpg,600\68180-0122-01_NLMIMAGE10_D634EB77.jpg,True
Dicyclomine Hydrochloride 10 MG Oral Capsule,51079-0118-20_NLMIMAGE10_533529E9.jpg,600\51079-0118-20_NLMIMAGE10_533529E9.jpg,True
24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule,62584-0975-90_NLMIMAGE10_D134E8A7.jpg,600\62584-0975-90_NLMIMAGE10_D134E8A7.jpg,True
24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule,62584-0976-01_NLMIMAGE10_4A352569.jpg,600\62584-0976-01_NLMIMAGE10_4A352569.jpg,True
24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule [Diltzac],60505-0212-03_NLMIMAGE10_7934BCC5.jpg,600\60505-0212-03_NLMIMAGE10_7934BCC5.jpg,True
Doxepin Hydrochloride 10 MG Oral Capsule,51079-0436-20_NLMIMAGE10_19350CA8.jpg,600\51079-0436-20_NLMIMAGE10_19350CA8.jpg,True
Doxepin Hydrochloride 50 MG Oral Capsule,51079-0438-20_NLMIMAGE10_60353079.jpg,600\51079-0438-20_NLMIMAGE10_60353079.jpg,True
Fluoxetine 10 MG Oral Capsule,51079-0997-20_NLMIMAGE10_37351BA8.jpg,600\51079-0997-20_NLMIMAGE10_37351BA8.jpg,True
gabapentin 100 MG Oral Capsule,68084-0079-65_NLMIMAGE10_4E352779.jpg,600\68084-0079-65_NLMIMAGE10_4E352779.jpg,True
Hydroxyzine Pamoate 25 MG Oral Capsule,51079-0077-20_NLMIMAGE10_233511E8.jpg,600\51079-0077-20_NLMIMAGE10_233511E8.jpg,True
Hydroxyzine Pamoate 50 MG Oral Capsule,51079-0078-20_NLMIMAGE10_2C351668.jpg,600\51079-0078-20_NLMIMAGE10_2C351668.jpg,True
Indomethacin 25 MG Oral Capsule,00093-4029-01_NLMIMAGE10_272713C8.jpg,600\00093-4029-01_NLMIMAGE10_272713C8.jpg,True
Indomethacin 25 MG Oral Capsule,51079-0190-19_NLMIMAGE10_453522F9.jpg,600\51079-0190-19_NLMIMAGE10_453522F9.jpg,True
Omeprazole 40 MG Delayed Release Oral Capsule,62175-0136-32_NLMIMAGE10_AB34D586.jpg,600\62175-0136-32_NLMIMAGE10_AB34D586.jpg,True
"NITROFURANTOIN, MACROCRYSTALS 50 MG Oral Capsule",51079-0584-20_NLMIMAGE10_3B351DB8.jpg,600\51079-0584-20_NLMIMAGE10_3B351DB8.jpg,True
"NITROFURANTOIN, MACROCRYSTALS 100 MG Oral Capsule",51079-0585-20_NLMIMAGE10_313518D8.jpg,600\51079-0585-20_NLMIMAGE10_313518D8.jpg,True
Nitroglycerin 6.5 MG Extended Release Oral Capsule,00904-0644-60_NLMIMAGE10_66353349.jpg,600\00904-0644-60_NLMIMAGE10_66353349.jpg,True
Terazosin 1 MG Oral Capsule,59746-0383-06_NLMIMAGE10_7334B9F5.jpg,600\59746-0383-06_NLMIMAGE10_7334B9F5.jpg,True
Terazosin 1 MG Oral Capsule,51079-0936-20_NLMIMAGE10_57352BF9.jpg,600\51079-0936-20_NLMIMAGE10_57352BF9.jpg,True
Terazosin 2 MG Oral Capsule,59746-0384-06_NLMIMAGE10_E434F207.jpg,600\59746-0384-06_NLMIMAGE10_E434F207.jpg,True
Terazosin 2 MG Oral Capsule,51079-0937-20_NLMIMAGE10_1E350F18.jpg,600\51079-0937-20_NLMIMAGE10_1E350F18.jpg,True
Tetracycline 500 MG Oral Capsule,00591-2235-01_NLMIMAGE10_6A34B515.jpg,600\00591-2235-01_NLMIMAGE10_6A34B515.jpg,True
Amylases 60000 UNT / Endopeptidases 38000 UNT / Lipase 12000 UNT Delayed Release Oral Capsule [Creon],00032-1212-01_NLMIMAGE10_1B038DFC.jpg,600\00032-1212-01_NLMIMAGE10_1B038DFC.jpg,True
Diphenhydramine Hydrochloride 25 MG Oral Capsule,66424-0020-01_NLMIMAGE10_1A038D6C.jpg,600\66424-0020-01_NLMIMAGE10_1A038D6C.jpg,True
Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule,55111-0341-01_NLMIMAGE10_C238E107.jpg,600\55111-0341-01_NLMIMAGE10_C238E107.jpg,True
